Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_share1b.mat,253,117,29601,1179,true,253,117,29601,1179,78,-53365.019844798655,0.300563,false,stop_small_ρ,25,-76589.31857636516,0.0064904,true,181,-76589.31857918568,0.0027561187744140625,true
lp_beaconfd.mat,295,173,51035,3408,true,295,173,51035,3408,13,439.1789446128594,0.2441485,false,stop_small_ρ,9,33592.48580123391,0.0021155,true,48,33592.4858072,0.002251148223876953,true
lp_israel.mat,316,174,54984,2443,true,316,174,54984,2443,220,-837540.4594181757,1.7112416,true,stop_gap_reached,18,-896644.817042642,0.0082898,true,240,-896644.8218630455,0.004220247268676758,true
lp_lotfi.mat,366,153,55998,1136,true,366,153,55998,1136,96,-24.8126557222374,0.8106804,false,stop_small_ρ,26,-25.264705959924072,0.0084473,true,140,-25.264706061880002,0.0024929046630859375,true
lp_scsd1.mat,760,77,58520,2388,true,760,77,58520,2388,20,8.666680597645453,0.1537613,true,stop_small_ρ,9,8.666666673708898,0.0040782,true,86,8.666666674333365,0.0023069381713867188,true
lp_sc205.mat,317,205,64985,665,true,317,205,64985,665,179,-52.13651229064188,2.0280271,true,stop_small_ρ,13,-52.20204335018235,0.0051263,true,124,-52.20206121170721,0.002251148223876953,true
lp_recipe.mat,204,91,18564,687,false,320,207,66240,919,56,-266.61598611076835,0.5828688,false,stop_gap_reached,9,-266.61599997943085,0.0043986,false,19,-266.616,0.001291036605834961,true
lp_brandy.mat,303,220,66660,2202,true,303,220,66660,2202,38,2.456435511190582,0.6476264,false,stop_gap_reached,14,1518.5098969725213,0.0049606,true,187,1518.5098964881279,0.003805875778198242,true
lp_bore3d.mat,334,233,77822,1448,false,348,247,85956,1476,0,Inf,Inf,false,stop_error,16,1373.0804272301962,0.0026314,false,33,1373.0803942084926,0.0016429424285888672,false
lp_e226.mat,472,223,105256,2768,true,472,223,105256,2768,47,-18.751926371657888,1.2589513,true,stop_small_ρ,18,-18.751928205318574,0.0096277,true,364,-18.751929066370547,0.0071599483489990234,true
lp_bandm.mat,472,305,143960,2494,true,472,305,143960,2494,148,-158.2294494378825,5.8920088,false,stop_small_ρ,14,-158.62801670114882,0.0098851,true,381,-158.62801845012058,0.007770061492919922,true
lp_scorpion.mat,466,388,180808,1534,true,466,388,180808,1534,0,Inf,Inf,false,stop_error,13,1878.1247930827212,0.0065957,true,89,1878.1248227381068,0.0026209354400634766,true
lp_vtp_base.mat,346,198,68508,1051,false,508,360,182880,1375,0,Inf,Inf,false,stop_error,0,0.0,0.0005729,false,0,Inf,Inf,false
lp_scfxm1.mat,600,330,198000,2732,true,600,330,198000,2732,45,-140.67895168059047,3.2698864,false,stop_small_ρ,20,18416.759030924102,0.01384,true,415,18416.759028348948,0.0077440738677978516,true
lp_sctap1.mat,660,300,198000,1872,true,660,300,198000,1872,29,1412.2502204779955,2.3767129,true,stop_small_ρ,16,1412.249970579739,0.0095487,true,369,1412.25,0.006188154220581055,true
