Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,PAS_Iterations,PAS_Cost,PAS_Time,PAS_Feasible,PAS_Stop_Reason,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
lp_scfxm3.mat,1800,990,1782000,8206,true,1800,990,1782000,8206,117,55504.00627444126,145.9917326,false,stop_gap_reached,21,54901.25460301414,0.3133279,true,1253,54901.254549751466,0.027642250061035156,true
lp_maros.mat,1966,846,1663236,10137,false,2029,909,1844361,10263,399,-43694.08556691541,503.5224977,false,stop_small_ρ,100,-58028.88279810887,0.4121177,true,1374,-58063.74370112589,0.043562889099121094,true
lp_ship08s.mat,2467,778,1919326,7194,true,2467,778,1919326,7194,28,1.9201002126819463e6,41.0251129,true,stop_small_ρ,18,1.92009821037546e6,0.0284128,true,371,1.9200982105346199e6,0.008853912353515625,true
lp_perold.mat,1506,625,941250,6148,false,1935,1054,2039490,7006,1,-8.156072,0.2311903,false,stop_rank,0,0.0,0.0013852,false,0,Inf,Inf,false
lp_fit1p.mat,1677,627,1051479,9868,false,2076,1026,2129976,10666,106,9249.975212601606,155.844844,true,stop_gap_reached,13,9146.378121139254,0.0290959,true,860,9146.378092420926,0.03766775131225586,true
lp_fit1d.mat,1049,24,25176,13427,false,2075,1050,2178750,15479,264,-9140.029816022343,464.5974007,true,stop_small_ρ,25,-9146.378087136234,0.0446623,false,69,-9146.378092420926,0.011137008666992188,false
lp_grow22.mat,946,440,416240,8252,false,1826,1320,2410320,10012,119,-1.5166806638840654e8,286.7837169,true,stop_gap_reached,15,-1.6083433643693355e8,0.0344424,false,1934,-1.6083433648256284e8,0.07163023948669434,false
lp_d6cube.mat,6184,415,2566360,37704,false,6185,416,2572960,37706,38,315.50078298452513,43.8402474,true,stop_small_ρ,17,315.49166667574787,0.1731381,true,433,315.4916666666668,0.08704209327697754,true
lp_sctap2.mat,2500,1090,2725000,7334,true,2500,1090,2725000,7334,28,1724.8084021900988,55.1116065,true,stop_gap_reached,12,1724.8071392393554,0.0264879,true,912,1724.8071428571427,0.016340255737304688,true
lp_shell.mat,1777,536,952472,3558,false,2403,1162,2792286,4810,19,123669.23895730017,82.3293376,false,stop_small_ρ,20,1.208825345960853e9,0.0362479,true,345,1.208825346e9,0.010053157806396484,true
lp_ship12s.mat,2869,1151,3302219,8284,true,2869,1151,3302219,8284,27,1.4892461006849122e6,97.7019011,true,stop_small_ρ,20,1.4892361337628185e6,0.0714749,true,498,1.4892361344061287e6,0.010143041610717773,true
lp_ship08l.mat,4363,778,3394414,12882,true,4363,778,3394414,12882,24,1.9090593676192642e6,64.901578,true,stop_small_ρ,21,1.9090551866907994e6,0.3136099,true,687,1.9090552113891316e6,0.01597905158996582,true
lp_ganges.mat,1706,1309,2233154,6937,false,2110,1713,3614430,7745,55,-261.9251827022929,238.4342057,false,stop_gap_reached,17,-109585.73325588842,0.0402277,true,517,-109585.73612927852,0.010383844375610352,true
lp_degen3.mat,2604,1503,3913812,25432,true,2604,1503,3913812,25432,30,-987.273061287592,207.0803574,true,stop_small_ρ,12,-987.293996738093,0.1540646,true,2486,-987.2940000000001,0.17640995979309082,true
lp_pilot_we.mat,2928,722,2114016,9265,false,3408,1202,4096416,10225,1,-5.712591821131e6,1.0534707,false,stop_rank,0,0.0,0.0021774,false,0,Inf,Inf,false
lp_czprob.mat,3562,929,3309098,10708,false,3791,1158,4389978,11166,99,2.18519905854879e6,333.7805268,true,stop_gap_reached,26,2.185196698841554e6,0.0596081,true,733,2.1851966988565773e6,0.024646997451782227,true
