File,Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,NBIterations,NBTime,NBFeasible,NBSolved,NAIterations,NATime,NAFeasible,NASolved,NNIterations,NNTime,NNFeasible,NNSolved,MBIterations,MBTime,MBFeasible,MBSolved,MAIterations,MATime,MAFeasible,MASolved,MNIterations,MNTime,MNFeasible,MNSolved,Tulip_Iterations,Tulip_Cost,Tulip_Time,Tulip_Feasible,HiGHS_Iterations,HiGHS_Cost,HiGHS_Time,HiGHS_Feasible
problems\lp_grow7.mat,lp_grow7.mat,301,140,42140,2612,false,581,420,244020,3172,328,1.3047911,true,true,326,0.999944,true,true,326,0.2215088,true,true,74,0.2875524,true,true,74,0.2441994,true,true,74,0.0554206,true,true,15,-4.78E+07,0.0100687,false,343,-4.78E+07,0.007524967,false
problems\lp_capri.mat,lp_capri.mat,482,271,130622,1896,false,659,448,295232,2250,105,0.332779,true,true,105,0.2724585,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,9,0.191577875,0.0075672,false,0,Inf,Inf,false
problems\lp_agg.mat,lp_agg.mat,615,488,300120,2862,true,615,488,300120,2862,169,0.6371255,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,18,-3.60E+07,0.2335446,true,368,-3.60E+07,0.007042885,true
problems\lp_scagr25.mat,lp_scagr25.mat,671,471,316041,1725,true,671,471,316041,1725,199,0.4795806,true,true,199,0.3562485,true,true,199,0.0798941,true,true,63,0.1486,true,true,63,0.1110082,true,true,63,0.0241735,true,true,14,-1.48E+07,0.0099565,true,348,-1.48E+07,0.006060123,true
problems\lp_degen2.mat,lp_degen2.mat,757,444,336108,4201,true,757,444,336108,4201,30,0.2806414,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,10,-1435.178,0.0203154,true,537,-1435.178,0.013440847,true
problems\lp_agg2.mat,lp_agg2.mat,758,516,391128,4740,true,758,516,391128,4740,175,1.2174783,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,17,-2.02E+07,0.0349895,true,534,-2.02E+07,0.011223078,true
problems\lp_agg3.mat,lp_agg3.mat,758,516,391128,4756,true,758,516,391128,4756,161,1.1403811,true,true,180,1.1871498,true,true,161,0.3150212,true,true,107,0.7413042,true,true,0,Inf,false,false,0,Inf,false,false,16,1.03E+07,0.0271808,true,563,1.03E+07,0.011441946,true
problems\lp_stair.mat,lp_stair.mat,614,356,218584,4003,false,790,532,420280,4355,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,10,-5.72E-12,0.011861,false,0,Inf,Inf,false
problems\lp_fffff800.mat,lp_fffff800.mat,1028,524,538672,6401,true,1028,524,538672,6401,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,26,555679.5668,0.0308513,true,388,555679.5648,0.008073092,true
problems\lp_ship04s.mat,lp_ship04s.mat,1506,402,605412,4400,true,1506,402,605412,4400,121,0.8080551,true,true,123,0.5812837,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,16,1.80E+06,0.0556942,true,278,1.80E+06,0.005217075,true
