File,Problem,N,M,Size,NonZeros,Standard,SN,SM,SSize,SNonZeros,NBIterations,NBTime,NBFeasible,NBSolved,NAIterations,NATime,NAFeasible,NASolved,NNIterations,NNTime,NNFeasible,NNSolved,MBIterations,MBTime,MBFeasible,MBSolved,MAIterations,MATime,MAFeasible,MASolved,MNIterations,MNTime,MNFeasible,MNSolved
problems\lp_sctap2.mat,lp_sctap2.mat,2500,1090,2725000,7334,true,2500,1090,2725000,7334,31,0.4679128,true,true,31,0.3606599,true,true,31,0.0585213,true,true,21,0.3186676,true,true,21,0.276454,true,true,21,0.0454019,true,true
problems\lp_shell.mat,lp_shell.mat,1777,536,952472,3558,false,2403,1162,2792286,4810,235,3.6449099,true,true,255,3.5933721,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_ship12s.mat,lp_ship12s.mat,2869,1151,3302219,8284,true,2869,1151,3302219,8284,109,1.5309461,true,true,115,0.989203,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_ship08l.mat,lp_ship08l.mat,4363,778,3394414,12882,true,4363,778,3394414,12882,166,4.7521721,true,true,168,3.1911276,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_ganges.mat,lp_ganges.mat,1706,1309,2233154,6937,false,2110,1713,3614430,7745,413,5.0561798,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_degen3.mat,lp_degen3.mat,2604,1503,3913812,25432,true,2604,1503,3913812,25432,41,3.3055393,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_pilot_we.mat,lp_pilot_we.mat,2928,722,2114016,9265,false,3408,1202,4096416,10225,709,14.1171426,true,true,722,11.2391133,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_czprob.mat,lp_czprob.mat,3562,929,3309098,10708,false,3791,1158,4389978,11166,109,5.6037122,true,true,109,3.944963,true,true,109,0.2457878,true,true,46,2.4001587,true,true,46,1.6185515,true,true,46,0.0983107,true,true
problems\lp_pilotnov.mat,lp_pilotnov.mat,2446,975,2384850,13331,false,3001,1530,4591530,14441,135,5.4247644,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_sctap3.mat,lp_sctap3.mat,3340,1480,4943200,9734,true,3340,1480,4943200,9734,33,0.5991345,true,true,33,0.4529635,true,true,33,0.0652461,true,true,21,0.3675762,true,true,21,0.2892288,true,true,21,0.0590568,true,true
problems\lp_pilot_ja.mat,lp_pilot_ja.mat,2267,940,2130980,14977,false,3023,1696,5127008,16489,414,19.5518999,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_ship12l.mat,lp_ship12l.mat,5533,1151,6368483,16276,true,5533,1151,6368483,16276,135,3.9427656,true,true,138,2.646657,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_stocfor2.mat,lp_stocfor2.mat,3045,2157,6568065,9357,true,3045,2157,6568065,9357,81,1.1901082,true,true,81,0.8788221,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_cycle.mat,lp_cycle.mat,3371,1903,6415013,21234,false,3455,1987,6865085,21402,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
problems\lp_truss.mat,lp_truss.mat,8806,1000,8806000,27836,true,8806,1000,8806000,27836,45,3.8418419,true,true,45,3.0880538,true,true,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false,0,Inf,false,false
